學校類別,學校代碼,學校名稱,在學學生人數_博士班,在學學生人數_碩士班,在學學生人數_學士班,在學學生人數_二專,在學學生人數_五專,上學年度畢業生人數_博士,上學年度畢業生人數_碩士,上學年度畢業生人數_學士,上學年度畢業生人數_二專,上學年度畢業生人數_五專
大專校院,0001,國立政治大學,4,42,116,0,0,0,10,29,0,0
大專校院,0002,國立清華大學,14,69,77,0,0,1,11,24,0,0
大專校院,0003,國立臺灣大學,10,33,285,0,0,1,11,55,0,0
大專校院,0004,國立臺灣師範大學,18,47,229,0,0,0,5,43,0,0
大專校院,0005,國立成功大學,3,24,124,0,0,0,11,27,0,0
大專校院,0006,國立中興大學,4,14,108,0,0,0,8,13,0,0
大專校院,0007,國立交通大學,5,21,31,0,0,0,4,3,0,0
大專校院,0008,國立中央大學,1,9,42,0,0,0,2,3,0,0
大專校院,0009,國立中山大學,0,21,42,0,0,0,0,8,0,0
大專校院,0012,國立臺灣海洋大學,1,6,87,0,0,0,3,9,0,0
大專校院,0013,國立中正大學,2,34,70,0,0,0,7,21,0,0
大專校院,0014,國立高雄師範大學,7,68,210,0,0,0,2,14,0,0
大專校院,0015,國立彰化師範大學,1,20,107,0,0,0,2,15,0,0
大專校院,0016,國立陽明大學,3,10,23,0,0,0,5,2,0,0
大專校院,0017,國立臺北大學,2,10,100,0,0,0,3,20,0,0
大專校院,0018,國立嘉義大學,1,29,144,0,0,1,6,26,0,0
大專校院,0019,國立高雄大學,0,4,109,0,0,0,1,8,0,0
大專校院,0020,國立東華大學,20,189,526,0,0,0,23,102,0,0
大專校院,0021,國立暨南國際大學,5,53,236,0,0,0,6,50,0,0
大專校院,0022,國立臺灣科技大學,3,7,103,0,0,0,4,18,0,0
大專校院,0023,國立雲林科技大學,4,12,70,0,0,0,1,12,0,0
大專校院,0024,國立屏東科技大學,2,34,162,0,0,0,7,26,0,0
大專校院,0025,國立臺北科技大學,0,14,83,0,2,0,4,8,0,0
大專校院,0028,國立臺北藝術大學,3,16,46,0,0,0,2,3,0,0
大專校院,0029,國立臺灣藝術大學,1,13,100,0,0,0,1,20,0,0
大專校院,0030,國立臺東大學,2,144,401,0,0,0,28,48,0,0
大專校院,0031,國立宜蘭大學,0,10,155,0,0,0,4,25,0,0
大專校院,0032,國立聯合大學,0,3,82,0,0,0,0,13,0,0
大專校院,0033,國立虎尾科技大學,0,5,95,0,2,0,1,17,0,0
大專校院,0035,國立臺南藝術大學,1,16,19,0,0,0,1,1,0,0
大專校院,0036,國立臺南大學,0,10,71,0,0,0,1,11,0,0
大專校院,0037,國立臺北教育大學,1,40,118,0,0,0,2,20,0,0
大專校院,0039,國立臺中教育大學,2,49,81,0,0,0,14,24,0,0
大專校院,0042,國立澎湖科技大學,0,2,23,0,2,0,0,5,0,0
大專校院,0043,國立勤益科技大學,0,5,129,0,0,0,2,18,0,0
大專校院,0044,國立體育大學,1,21,191,0,0,0,4,14,0,0
大專校院,0046,國立臺北護理健康大學,0,8,103,0,0,0,1,21,0,0
大專校院,0047,國立高雄餐旅大學,0,2,105,0,7,0,0,16,1,0
大專校院,0048,國立金門大學,0,1,61,0,0,0,2,6,0,0
