"學年度","學校類別","學校代碼","學校名稱","在學學生人數_博士班","在學學生人數_碩士班","在學學生人數_學士班","在學學生人數_二專","在學學生人數_五專","上學年度畢業生人數_博士","上學年度畢業生人數_碩士","上學年度畢業生人數_學士","上學年度畢業生人數_二專","上學年度畢業生人數_五專"
110,大專校院,0001,國立政治大學,5,62,138,0,0,0,7,20,0,0
110,大專校院,0002,國立清華大學,13,64,83,0,0,2,12,10,0,0
110,大專校院,0003,國立臺灣大學,11,49,268,0,0,1,8,58,0,0
110,大專校院,0004,國立臺灣師範大學,17,57,214,0,0,2,4,49,0,0
110,大專校院,0005,國立成功大學,5,32,146,0,0,1,9,26,0,0
110,大專校院,0006,國立中興大學,5,10,132,0,0,0,3,21,0,0
110,大專校院,0007,國立陽明交通大學,11,32,68,0,0,1,7,8,0,0
110,大專校院,0008,國立中央大學,2,21,44,0,0,0,7,12,0,0
110,大專校院,0009,國立中山大學,0,49,39,0,0,0,0,10,0,0
110,大專校院,0012,國立臺灣海洋大學,3,11,101,0,0,0,3,11,0,0
110,大專校院,0013,國立中正大學,2,36,74,0,0,0,5,14,0,0
110,大專校院,0014,國立高雄師範大學,10,72,382,0,0,2,5,24,0,0
110,大專校院,0015,國立彰化師範大學,1,29,108,0,0,0,6,20,0,0
110,大專校院,0017,國立臺北大學,1,10,106,0,0,0,2,19,0,0
110,大專校院,0018,國立嘉義大學,2,29,149,0,0,0,4,24,0,0
110,大專校院,0019,國立高雄大學,0,7,108,0,0,0,0,7,0,0
110,大專校院,0020,國立東華大學,29,221,613,0,0,0,20,101,0,0
110,大專校院,0021,國立暨南國際大學,7,40,244,0,0,1,9,45,0,0
110,大專校院,0022,國立臺灣科技大學,5,13,92,0,0,0,2,26,0,0
110,大專校院,0023,國立雲林科技大學,2,11,78,0,0,0,1,16,0,0
110,大專校院,0024,國立屏東科技大學,3,38,168,0,0,0,8,34,0,0
110,大專校院,0025,國立臺北科技大學,2,17,77,0,4,0,2,22,0,0
110,大專校院,0028,國立臺北藝術大學,4,18,49,0,0,0,2,7,0,0
110,大專校院,0029,國立臺灣藝術大學,0,16,105,0,0,0,3,22,0,0
110,大專校院,0030,國立臺東大學,2,155,543,0,0,0,25,74,0,0
110,大專校院,0031,國立宜蘭大學,0,16,174,0,0,0,3,33,0,0
110,大專校院,0032,國立聯合大學,0,3,95,0,0,0,1,18,0,0
110,大專校院,0033,國立虎尾科技大學,0,4,103,0,4,0,3,14,0,0
110,大專校院,0035,國立臺南藝術大學,3,10,33,0,0,0,2,3,0,0
110,大專校院,0036,國立臺南大學,1,18,80,0,0,0,3,15,0,0
110,大專校院,0037,國立臺北教育大學,3,45,113,0,0,0,10,27,0,0
110,大專校院,0039,國立臺中教育大學,3,81,82,0,0,1,7,14,0,0
110,大專校院,0042,國立澎湖科技大學,0,2,20,0,2,0,0,5,0,0
110,大專校院,0043,國立勤益科技大學,0,6,128,4,0,0,1,30,1,0
110,大專校院,0044,國立體育大學,1,24,321,0,0,0,4,29,0,0
110,大專校院,0046,國立臺北護理健康大學,0,6,105,0,0,0,4,33,0,0
110,大專校院,0047,國立高雄餐旅大學,0,2,93,0,6,0,0,33,0,1
110,大專校院,0048,國立金門大學,0,1,77,0,0,0,0,6,0,0
110,大專校院,0049,國立臺灣體育運動大學,1,29,202,0,0,0,3,32,0,0
110,大專校院,0050,國立臺中科技大學,0,8,210,22,72,0,1,45,4,8
110,大專校院,0051,國立臺北商業大學,0,1,92,19,22,0,0,27,5,5
110,大專校院,0052,國立屏東大學,5,113,343,0,0,0,7,54,0,0
110,大專校院,0053,國立高雄科技大學,0,2,213,0,13,0,6,57,0,5
110,大專校院,0144,國立臺灣戲曲學院,0,0,13,0,0,0,0,3,0,0
110,大專校院,0221,國立臺南護理專科學校,0,0,0,1,85,0,0,0,0,7
110,大專校院,0222,國立臺東專科學校,0,0,0,49,65,0,0,0,6,7
110,大專校院,1001,東海大學,2,10,78,0,0,0,1,11,0,0
110,大專校院,1002,輔仁大學,4,119,312,0,0,1,10,84,0,0
110,大專校院,1003,東吳大學,0,0,117,0,0,0,1,32,0,0
