學校類別,學校代碼,學校名稱,在學學生人數_博士班,在學學生人數_碩士班,在學學生人數_學士班,在學學生人數_二專,在學學生人數_五專,上學年度畢業生人數_博士,上學年度畢業生人數_碩士,上學年度畢業生人數_學士,上學年度畢業生人數_二專,上學年度畢業生人數_五專
大專校院,0001,國立政治大學,5,49,155,0,0,0,5,36,0,0
大專校院,0002,國立清華大學,6,12,36,0,0,2,2,5,0,0
大專校院,0003,國立臺灣大學,7,19,293,0,0,0,8,39,0,0
大專校院,0004,國立臺灣師範大學,12,27,206,0,0,2,2,46,0,0
大專校院,0005,國立成功大學,5,12,101,0,0,0,3,19,0,0
大專校院,0006,國立中興大學,2,14,79,0,0,0,2,0,0,0
大專校院,0007,國立交通大學,4,8,25,0,0,0,2,2,0,0
大專校院,0008,國立中央大學,0,0,26,0,0,0,0,3,0,0
大專校院,0009,國立中山大學,0,0,22,0,0,0,0,5,0,0
大專校院,0012,國立臺灣海洋大學,0,9,46,0,0,0,1,6,0,0
大專校院,0013,國立中正大學,1,30,65,0,0,0,10,7,0,0
大專校院,0014,國立高雄師範大學,7,39,49,0,0,0,2,8,0,0
大專校院,0015,國立彰化師範大學,0,15,71,0,0,0,0,13,0,0
大專校院,0016,國立陽明大學,1,9,21,0,0,0,0,2,0,0
大專校院,0017,國立臺北大學,1,7,113,0,0,0,0,22,0,0
大專校院,0018,國立嘉義大學,1,10,160,0,0,0,4,16,0,0
大專校院,0019,國立高雄大學,0,0,31,0,0,0,0,5,0,0
大專校院,0020,國立東華大學,11,193,482,0,0,1,21,65,0,0
大專校院,0021,國立暨南國際大學,7,27,121,0,0,0,0,4,0,0
大專校院,0022,國立臺灣科技大學,0,3,94,0,0,0,1,10,0,0
大專校院,0023,國立雲林科技大學,2,8,88,0,0,0,1,14,0,0
大專校院,0024,國立屏東科技大學,1,56,158,0,0,0,7,38,0,0
大專校院,0025,國立臺北科技大學,0,4,69,0,0,0,6,15,0,0
大專校院,0026,國立高雄第一科技大學,1,4,92,0,0,0,0,13,0,0
大專校院,0027,國立高雄應用科技大學,1,9,136,0,0,0,1,24,0,0
大專校院,0028,國立臺北藝術大學,1,14,39,0,1,0,3,5,0,0
大專校院,0029,國立臺灣藝術大學,0,1,55,0,0,0,1,13,0,0
大專校院,0030,國立臺東大學,0,137,228,0,0,0,34,24,0,0
大專校院,0031,國立宜蘭大學,0,3,91,0,0,0,2,12,0,0
大專校院,0032,國立聯合大學,0,2,77,0,0,0,0,10,0,0
大專校院,0033,國立虎尾科技大學,0,3,93,0,0,0,1,21,0,0
大專校院,0034,國立高雄海洋科技大學,0,3,96,0,15,0,1,21,0,0
大專校院,0035,國立臺南藝術大學,0,7,14,0,2,0,0,1,0,0
大專校院,0036,國立臺南大學,0,11,57,0,0,0,2,14,0,0
大專校院,0037,國立臺北教育大學,1,31,58,0,0,0,3,10,0,0
大專校院,0038,國立新竹教育大學,5,39,55,0,0,0,6,13,0,0
大專校院,0039,國立臺中教育大學,0,22,85,0,0,0,2,10,0,0
大專校院,0042,國立澎湖科技大學,0,0,38,0,0,0,1,4,0,0
大專校院,0043,國立勤益科技大學,0,6,129,0,0,0,0,18,0,0
大專校院,0044,國立體育大學,3,10,120,0,0,0,1,13,0,0
大專校院,0046,國立臺北護理健康大學,0,13,91,0,0,0,0,22,0,0
大專校院,0047,國立高雄餐旅大學,0,2,106,3,2,0,0,15,2,1
大專校院,0048,國立金門大學,0,0,60,0,0,0,0,7,0,0
大專校院,0049,國立臺灣體育運動大學,0,30,256,0,0,0,2,24,0,0
大專校院,0050,國立臺中科技大學,0,2,141,4,83,0,1,27,3,7
大專校院,0051,國立臺北商業大學,0,2,107,4,43,0,0,23,5,2
大專校院,0052,國立屏東大學,4,65,291,0,0,0,9,25,0,0
大專校院,1001,東海大學,1,8,54,0,0,0,4,9,0,0
大專校院,1002,輔仁大學,1,43,333,0,0,0,4,47,0,0
大專校院,1003,東吳大學,0,4,145,0,0,0,0,30,0,0
大專校院,1004,中原大學,0,0,128,0,0,0,0,5,0,0
大專校院,1005,淡江大學,0,5,146,0,0,0,0,28,0,0
大專校院,1006,中國文化大學,0,6,399,0,0,0,0,54,0,0
大專校院,1007,逢甲大學,0,3,74,0,0,0,0,18,0,0
大專校院,1008,靜宜大學,0,1,101,0,0,0,0,22,0,0
大專校院,1009,長庚大學,0,4,30,0,0,0,1,4,0,0
大專校院,1010,元智大學,1,9,37,0,0,0,4,3,0,0
大專校院,1011,中華大學,1,1,69,0,0,0,1,12,0,0
大專校院,1012,大葉大學,1,17,128,0,0,0,5,16,0,0
大專校院,1013,華梵大學,0,4,20,0,0,0,0,4,0,0
大專校院,1014,義守大學,1,8,641,0,0,0,0,37,0,0
大專校院,1015,世新大學,1,14,276,0,0,0,3,33,0,0
大專校院,1016,銘傳大學,0,0,172,0,0,0,0,22,0,0
大專校院,1017,實踐大學,0,2,351,0,0,0,0,69,0,0
大專校院,1018,朝陽科技大學,0,5,165,0,0,0,1,40,0,0
大專校院,1019,高雄醫學大學,1,1,76,0,0,1,1,14,0,0
大專校院,1020,南華大學,0,8,70,0,0,0,3,11,0,0
大專校院,1021,真理大學,0,3,143,0,0,0,0,30,0,0
大專校院,1022,大同大學,0,1,9,0,0,0,0,1,0,0
大專校院,1023,南臺科技大學,0,3,118,0,0,0,0,22,0,0
大專校院,1024,崑山科技大學,0,11,114,0,0,0,2,23,0,0
大專校院,1025,嘉南藥理大學,0,4,341,0,0,0,2,70,0,0
大專校院,1026,樹德科技大學,0,7,180,0,0,0,3,29,0,0
大專校院,1027,慈濟大學,0,21,75,0,0,0,0,18,0,0
大專校院,1028,臺北醫學大學,0,0,54,0,0,0,0,11,0,0
大專校院,1029,中山醫學大學,0,0,138,0,0,0,0,23,0,0
大專校院,1030,龍華科技大學,0,0,123,0,0,0,0,13,0,0
大專校院,1031,輔英科技大學,0,1,99,0,88,0,0,31,0,15
大專校院,1032,明新科技大學,0,5,215,0,0,0,2,43,1,0
大專校院,1033,長榮大學,1,7,257,0,0,0,0,47,0,0
大專校院,1034,弘光科技大學,0,2,196,2,11,0,0,44,0,1
大專校院,1035,中國醫藥大學,0,5,113,0,0,0,0,15,0,0
大專校院,1036,健行科技大學,0,0,250,1,2,0,3,60,1,0
大專校院,1037,正修科技大學,0,4,220,0,0,0,0,38,0,0
大專校院,1038,萬能科技大學,0,5,347,0,0,0,0,62,0,0
大專校院,1039,玄奘大學,0,10,186,0,0,0,1,33,0,0
大專校院,1040,建國科技大學,0,2,57,0,0,0,0,20,0,0
大專校院,1041,明志科技大學,0,1,46,0,0,0,0,15,0,0
大專校院,1042,高苑科技大學,0,5,216,0,0,0,1,44,0,0
大專校院,1043,大仁科技大學,0,10,383,0,0,0,1,99,0,0
大專校院,1044,聖約翰科技大學,0,0,80,0,1,0,1,16,0,0
大專校院,1045,嶺東科技大學,0,2,112,0,0,0,1,15,0,0
大專校院,1046,中國科技大學,0,1,181,0,0,0,2,32,0,0
大專校院,1047,中臺科技大學,0,6,139,0,0,0,0,30,0,0
大專校院,1048,亞洲大學,0,0,160,0,0,0,0,17,0,0
大專校院,1049,開南大學,0,16,220,0,0,0,2,40,0,0
大專校院,1050,佛光大學,0,22,98,0,0,0,5,14,0,0
大專校院,1051,台南應用科技大學,0,5,136,0,19,0,0,17,0,0
大專校院,1052,遠東科技大學,0,4,110,1,0,0,0,21,1,0
大專校院,1053,元培醫事科技大學,0,7,111,0,0,0,0,29,0,0
大專校院,1054,景文科技大學,0,3,142,0,0,0,0,21,0,0
大專校院,1055,中華醫事科技大學,0,0,63,0,27,0,0,13,2,3
大專校院,1056,東南科技大學,0,2,168,0,0,0,0,18,1,0
大專校院,1057,德明財經科技大學,0,0,96,0,0,0,0,24,0,0
大專校院,1058,明道大學,0,1,80,0,0,0,1,33,0,0
大專校院,1060,南開科技大學,0,3,61,0,13,0,3,8,0,2
大專校院,1061,中華科技大學,0,11,151,0,0,0,2,26,0,0
大專校院,1062,僑光科技大學,0,0,107,1,3,0,0,15,0,0
大專校院,1063,育達科技大學,0,7,109,0,0,0,0,33,0,0
大專校院,1064,美和科技大學,0,14,493,1,207,0,1,137,0,30
大專校院,1065,吳鳳科技大學,0,1,85,0,0,0,0,11,0,0
大專校院,1066,環球科技大學,0,9,350,26,0,0,0,17,3,0
大專校院,1067,台灣首府大學,0,0,126,0,0,0,0,22,0,0
大專校院,1068,中州科技大學,0,1,64,1,0,0,2,18,0,0
大專校院,1069,修平科技大學,0,2,80,0,0,0,1,29,0,0
大專校院,1070,長庚科技大學,0,1,136,0,56,0,0,42,0,17
大專校院,1071,臺北城市科技大學,0,0,145,3,25,0,0,25,1,1
大專校院,1072,大華科技大學,0,0,78,5,48,0,0,17,5,3
大專校院,1073,醒吾科技大學,0,1,176,0,25,0,0,33,0,0
大專校院,1074,南榮科技大學,0,0,154,6,3,0,0,15,2,0
大專校院,1075,文藻外語大學,0,5,71,0,52,0,0,14,0,7
大專校院,1076,華夏科技大學,0,0,42,9,5,0,0,10,0,0
大專校院,1077,慈濟科技大學,0,0,183,0,580,0,1,49,0,55
大專校院,1078,致理科技大學,0,0,116,2,25,0,0,38,5,1
