"學校類別","學校代碼","學校名稱","在學學生人數_博士班","在學學生人數_碩士班","在學學生人數_學士班","在學學生人數_二專","在學學生人數_五專","上學年度畢業生人數_博士","上學年度畢業生人數_碩士","上學年度畢業生人數_學士","上學年度畢業生人數_二專","上學年度畢業生人數_五專"
"大專校院",0001,"國立政治大學",3,49,130,0,0,1,9,25,0,0
"大專校院",0002,"國立清華大學",10,57,90,0,0,0,8,17,0,0
"大專校院",0003,"國立臺灣大學",10,33,281,0,0,1,8,51,0,0
"大專校院",0004,"國立臺灣師範大學",14,30,215,0,0,0,5,52,0,0
"大專校院",0005,"國立成功大學",3,28,112,0,0,1,2,15,0,0
"大專校院",0006,"國立中興大學",5,20,84,0,0,0,4,17,0,0
"大專校院",0007,"國立交通大學",4,12,25,0,0,0,4,6,0,0
"大專校院",0008,"國立中央大學",1,6,34,0,0,0,0,6,0,0
"大專校院",0009,"國立中山大學",0,1,40,0,0,0,0,5,0,0
"大專校院",0012,"國立臺灣海洋大學",0,9,68,0,0,0,5,11,0,0
"大專校院",0013,"國立中正大學",2,25,70,0,0,0,5,11,0,0
"大專校院",0014,"國立高雄師範大學",8,48,81,0,0,0,6,13,0,0
"大專校院",0015,"國立彰化師範大學",0,12,96,0,0,0,2,11,0,0
"大專校院",0016,"國立陽明大學",1,15,22,0,0,0,2,3,0,0
"大專校院",0017,"國立臺北大學",1,10,96,0,0,0,3,26,0,0
"大專校院",0018,"國立嘉義大學",2,24,146,0,0,0,6,33,0,0
"大專校院",0019,"國立高雄大學",0,2,37,0,0,0,0,3,0,0
"大專校院",0020,"國立東華大學",21,177,513,0,0,0,22,93,0,0
"大專校院",0021,"國立暨南國際大學",8,44,213,0,0,0,3,9,0,0
"大專校院",0022,"國立臺灣科技大學",2,10,105,0,0,0,4,13,0,0
"大專校院",0023,"國立雲林科技大學",1,5,69,0,0,0,3,18,0,0
"大專校院",0024,"國立屏東科技大學",1,51,157,0,0,0,14,33,0,0
"大專校院",0025,"國立臺北科技大學",0,11,77,0,0,0,2,21,0,0
"大專校院",0026,"國立高雄第一科技大學",1,4,92,0,0,0,1,23,0,0
"大專校院",0027,"國立高雄應用科技大學",0,7,105,0,0,0,4,27,0,0
"大專校院",0028,"國立臺北藝術大學",1,16,37,0,0,0,0,10,0,0
"大專校院",0029,"國立臺灣藝術大學",1,9,85,0,0,0,2,12,0,0
"大專校院",0030,"國立臺東大學",3,135,282,0,0,0,29,30,0,0
"大專校院",0031,"國立宜蘭大學",0,9,143,0,0,0,0,13,0,0
"大專校院",0032,"國立聯合大學",0,2,93,0,0,0,1,9,0,0
"大專校院",0033,"國立虎尾科技大學",0,3,91,0,0,0,2,17,0,0
"大專校院",0034,"國立高雄海洋科技大學",0,3,87,0,19,0,2,17,0,0
"大專校院",0035,"國立臺南藝術大學",0,10,14,0,0,0,1,4,0,0
"大專校院",0036,"國立臺南大學",0,8,55,0,0,0,0,12,0,0
"大專校院",0037,"國立臺北教育大學",0,38,100,0,0,0,2,14,0,0
"大專校院",0039,"國立臺中教育大學",2,44,70,0,0,0,3,14,0,0
"大專校院",0042,"國立澎湖科技大學",0,1,38,0,0,0,0,5,0,0
"大專校院",0043,"國立勤益科技大學",0,5,111,0,0,0,2,22,0,0
"大專校院",0044,"國立體育大學",3,15,128,0,0,0,2,19,0,0
"大專校院",0046,"國立臺北護理健康大學",0,10,106,0,0,0,5,21,0,0
"大專校院",0047,"國立高雄餐旅大學",0,0,113,1,5,0,2,26,0,0
"大專校院",0048,"國立金門大學",0,4,41,0,0,0,0,17,0,0
"大專校院",0049,"國立臺灣體育運動大學",0,21,241,0,0,0,3,24,0,0
"大專校院",0050,"國立臺中科技大學",0,1,137,1,67,0,0,31,1,13
"大專校院",0051,"國立臺北商業大學",0,0,102,0,40,0,0,32,0,3
"大專校院",0052,"國立屏東大學",4,94,310,0,0,0,12,43,0,0
"大專校院",1001,"東海大學",2,9,49,0,0,0,2,10,0,0
"大專校院",1002,"輔仁大學",0,77,349,0,0,0,6,48,0,0
"大專校院",1003,"東吳大學",0,2,130,0,0,0,1,29,0,0
"大專校院",1004,"中原大學",1,8,137,0,0,0,0,19,0,0
"大專校院",1005,"淡江大學",0,4,165,0,0,0,1,19,0,0
"大專校院",1006,"中國文化大學",6,24,426,0,0,0,7,71,0,0
"大專校院",1007,"逢甲大學",0,1,61,0,0,0,1,7,0,0
"大專校院",1008,"靜宜大學",3,13,81,0,0,0,2,27,0,0
"大專校院",1009,"長庚大學",0,4,25,0,0,0,1,4,0,0
"大專校院",1010,"元智大學",1,12,38,0,0,0,2,3,0,0
"大專校院",1011,"中華大學",1,0,35,0,0,1,0,19,0,0
"大專校院",1012,"大葉大學",0,2,145,0,0,0,7,10,0,0
"大專校院",1013,"華梵大學",0,1,15,0,0,0,2,2,0,0
"大專校院",1014,"義守大學",0,23,693,0,0,0,1,117,0,0
"大專校院",1015,"世新大學",3,13,297,0,0,0,1,55,0,0
"大專校院",1016,"銘傳大學",0,17,182,0,0,0,2,30,0,0
"大專校院",1017,"實踐大學",0,3,317,0,0,0,0,53,0,0
"大專校院",1018,"朝陽科技大學",0,7,175,0,0,0,5,46,0,0
"大專校院",1019,"高雄醫學大學",2,9,77,0,0,0,0,17,0,0
"大專校院",1020,"南華大學",0,8,76,0,0,0,1,9,0,0
"大專校院",1021,"真理大學",0,2,131,0,0,0,0,30,0,0
"大專校院",1022,"大同大學",1,3,10,0,0,0,0,1,0,0
"大專校院",1023,"南臺科技大學",0,2,124,0,0,0,0,13,0,0
"大專校院",1024,"崑山科技大學",0,2,97,0,0,0,3,22,0,0
"大專校院",1025,"嘉南藥理大學",0,4,287,0,0,0,2,64,0,0
"大專校院",1026,"樹德科技大學",0,2,196,0,0,0,2,37,0,0
"大專校院",1027,"慈濟大學",1,22,78,0,0,0,8,15,0,0
"大專校院",1028,"臺北醫學大學",0,0,50,0,0,0,0,8,0,0
"大專校院",1029,"中山醫學大學",0,3,128,0,0,0,0,25,0,0
