"學年度","學校類別","學校代碼","學校名稱","在學學生人數_博士班","在學學生人數_碩士班","在學學生人數_學士班","在學學生人數_二專","在學學生人數_五專","上學年度畢業生人數_博士","上學年度畢業生人數_碩士","上學年度畢業生人數_學士","上學年度畢業生人數_二專","上學年度畢業生人數_五專"
111,大專校院,0001,國立政治大學,7,61,142,0,0,0,6,24,0,0
111,大專校院,0002,國立清華大學,11,67,76,0,0,1,9,19,0,0
111,大專校院,0003,國立臺灣大學,14,45,266,0,0,2,15,42,0,0
111,大專校院,0004,國立臺灣師範大學,17,66,204,0,0,0,13,45,0,0
111,大專校院,0005,國立成功大學,6,39,152,0,0,0,7,19,0,0
111,大專校院,0006,國立中興大學,4,16,143,0,0,0,1,20,0,0
111,大專校院,0007,國立陽明交通大學,12,26,71,0,0,0,15,13,0,0
111,大專校院,0008,國立中央大學,2,19,55,0,0,0,8,7,0,0
111,大專校院,0009,國立中山大學,0,45,39,0,0,0,5,8,0,0
111,大專校院,0012,國立臺灣海洋大學,2,12,105,0,0,0,3,14,0,0
111,大專校院,0013,國立中正大學,5,38,92,0,0,0,5,12,0,0
111,大專校院,0014,國立高雄師範大學,12,76,421,0,0,0,8,55,0,0
111,大專校院,0015,國立彰化師範大學,2,31,110,0,0,0,2,24,0,0
111,大專校院,0017,國立臺北大學,1,15,123,0,0,0,1,13,0,0
111,大專校院,0018,國立嘉義大學,2,31,151,0,0,0,3,23,0,0
111,大專校院,0019,國立高雄大學,0,7,107,0,0,0,0,18,0,0
111,大專校院,0020,國立東華大學,36,220,635,0,0,0,21,90,0,0
111,大專校院,0021,國立暨南國際大學,9,50,258,0,0,0,5,34,0,0
111,大專校院,0022,國立臺灣科技大學,5,24,97,0,0,0,1,14,0,0
111,大專校院,0023,國立雲林科技大學,0,13,85,0,0,1,3,16,0,0
111,大專校院,0024,國立屏東科技大學,4,30,175,0,0,0,9,22,0,0
111,大專校院,0025,國立臺北科技大學,2,18,78,0,5,0,0,19,0,0
111,大專校院,0028,國立臺北藝術大學,2,18,55,0,0,0,3,9,0,0
111,大專校院,0029,國立臺灣藝術大學,1,18,107,0,0,0,1,20,0,0
111,大專校院,0030,國立臺東大學,4,161,546,0,0,0,17,103,0,0
111,大專校院,0031,國立宜蘭大學,0,17,179,0,0,0,4,25,0,0
111,大專校院,0032,國立聯合大學,0,5,101,0,0,0,2,15,0,0
111,大專校院,0033,國立虎尾科技大學,0,4,123,0,2,0,0,10,0,0
111,大專校院,0035,國立臺南藝術大學,3,14,38,0,0,0,1,4,0,0
111,大專校院,0036,國立臺南大學,1,16,69,0,0,0,3,17,0,0
111,大專校院,0037,國立臺北教育大學,3,50,108,0,0,0,5,28,0,0
111,大專校院,0039,國立臺中教育大學,4,105,78,0,0,0,13,27,0,0
111,大專校院,0042,國立澎湖科技大學,0,2,17,0,1,0,1,5,0,0
111,大專校院,0043,國立勤益科技大學,0,4,113,6,0,0,2,21,2,0
111,大專校院,0044,國立體育大學,2,27,386,0,0,0,2,36,0,0
111,大專校院,0046,國立臺北護理健康大學,0,6,97,0,0,0,2,27,0,0
111,大專校院,0047,國立高雄餐旅大學,0,0,91,0,7,0,1,26,0,2
111,大專校院,0048,國立金門大學,0,1,69,0,0,0,0,13,0,0
111,大專校院,0049,國立臺灣體育運動大學,1,30,210,0,0,0,4,43,0,0
111,大專校院,0050,國立臺中科技大學,0,8,204,17,75,0,2,56,2,6
111,大專校院,0051,國立臺北商業大學,0,1,93,10,21,0,0,22,9,4
111,大專校院,0052,國立屏東大學,6,117,352,0,0,2,7,55,0,0
111,大專校院,0053,國立高雄科技大學,0,4,185,0,14,0,2,50,0,1
111,大專校院,0144,國立臺灣戲曲學院,0,0,11,0,0,0,0,4,0,0
111,大專校院,0221,國立臺南護理專科學校,0,0,0,1,118,0,0,0,1,10
111,大專校院,0222,國立臺東專科學校,0,0,0,34,48,0,0,0,19,10
111,大專校院,1001,東海大學,1,11,95,0,0,0,1,11,0,0
111,大專校院,1002,輔仁大學,4,124,326,0,0,0,9,51,0,0
111,大專校院,1003,東吳大學,0,0,113,0,0,0,0,24,0,0
111,大專校院,1004,中原大學,2,22,183,0,0,1,4,27,0,0
111,大專校院,1005,淡江大學,0,3,234,0,0,0,1,39,0,0
111,大專校院,1006,中國文化大學,0,7,337,0,0,0,0,37,0,0
111,大專校院,1007,逢甲大學,0,13,127,0,0,0,2,6,0,0
111,大專校院,1008,靜宜大學,6,55,184,0,0,0,5,26,0,0
111,大專校院,1009,長庚大學,4,14,25,0,0,0,5,8,0,0
111,大專校院,1010,元智大學,2,0,56,0,0,0,1,4,0,0
111,大專校院,1011,中華大學,2,1,35,0,0,0,1,17,0,0
111,大專校院,1012,大葉大學,1,7,40,0,0,0,3,14,0,0
111,大專校院,1013,華梵大學,0,3,4,0,0,0,0,0,0,0
111,大專校院,1014,義守大學,2,16,480,0,0,0,3,92,0,0
111,大專校院,1015,世新大學,3,15,287,0,0,0,6,59,0,0
111,大專校院,1016,銘傳大學,0,11,220,0,0,0,1,34,0,0
111,大專校院,1017,實踐大學,0,4,208,0,0,0,0,50,0,0
111,大專校院,1018,朝陽科技大學,3,8,161,0,0,0,0,39,0,0
111,大專校院,1019,高雄醫學大學,2,15,100,0,0,0,1,19,0,0
111,大專校院,1020,南華大學,0,14,66,0,0,0,2,14,0,0
111,大專校院,1021,真理大學,0,4,63,0,0,0,0,19,0,0
111,大專校院,1022,大同大學,1,1,19,0,0,0,0,1,0,0
111,大專校院,1023,南臺科技大學,0,5,182,0,3,0,2,25,0,0
111,大專校院,1024,崑山科技大學,0,4,125,0,0,0,2,16,1,0
111,大專校院,1025,嘉南藥理大學,0,6,176,0,0,0,2,40,0,0
111,大專校院,1026,樹德科技大學,0,8,240,7,0,0,1,34,2,0
111,大專校院,1027,慈濟大學,5,27,87,0,0,0,6,14,0,0
111,大專校院,1028,臺北醫學大學,0,0,52,0,0,0,0,9,0,0
111,大專校院,1029,中山醫學大學,0,13,154,0,0,0,0,14,0,0
111,大專校院,1030,龍華科技大學,0,3,139,0,4,0,0,25,0,1
111,大專校院,1031,輔英科技大學,0,3,152,0,131,0,0,28,0,13
111,大專校院,1032,明新科技大學,0,27,260,7,0,0,7,45,2,0
111,大專校院,1033,長榮大學,3,11,95,0,0,0,0,25,0,0
111,大專校院,1034,弘光科技大學,2,8,179,5,14,0,1,36,0,0
111,大專校院,1035,中國醫藥大學,1,9,186,0,0,1,1,24,0,0
111,大專校院,1036,健行科技大學,0,15,303,0,0,0,4,63,0,0
111,大專校院,1037,正修科技大學,0,14,354,27,4,0,1,88,8,0
